Year,State,Crop,Area (hectares),Production (tonnes),Yield (tonnes/hectare),Annual Rainfall (mm)
1997,Assam,Arecanut,73814,56708,0.796086957,2051.4
1997,Assam,Arhar/Tur,6637,4685,0.710434783,2051.4
1997,Assam,Castor seed,796,22,0.238333333,2051.4
1997,Assam,Coconut ,19656,126905000,5238.051739,2051.4
1997,Assam,Cotton(lint),1739,794,0.420909091,2051.4
1997,Assam,Dry chillies,13587,9073,0.643636364,2051.4
1997,Assam,Gram,2979,1507,0.465454545,2051.4
1997,Assam,Jute,94520,904095,9.919565217,2051.4
1997,Assam,Linseed,10098,5158,0.461363636,2051.4
1997,Assam,Maize,19216,14721,0.615652174,2051.4
1997,Assam,Mesta,5915,29003,4.568947368,2051.4
1997,Assam,Niger seed,9914,5076,0.482352941,2051.4
1997,Assam,Onion,7832,17943,2.342608696,2051.4
1997,Assam,Other  Rabi pulses,108297,58272,0.520869565,2051.4
1997,Assam,Potato,75259,671871,7.561304348,2051.4
1997,Assam,Rapeseed &Mustard,279292,154772,0.554782609,2051.4
1997,Assam,Rice,607358,398311,0.780869565,2051.4
1997,Assam,Rice,174974,209623,1.060434783,2051.4
1997,Assam,Rice,1743321,1647296,0.941304348,2051.4
1997,Assam,Sesamum,15765,8257,0.487391304,2051.4
1997,Assam,Small millets,10490,5391,0.473,2051.4
1997,Assam,Sugarcane,31318,1287451,41.89695652,2051.4
1997,Assam,Sweet potato,9380,32618,3.440434783,2051.4
1997,Assam,Tapioca,2465,11728,4.41826087,2051.4
1997,Assam,Tobacco,433,26,0.38,2051.4
1997,Assam,Turmeric,10071,6974,0.67,2051.4
1997,Assam,Wheat,84698,110054,1.25952381,2051.4
1997,Karnataka,Arecanut,93100,133342,1.293571429,1266.7
1997,Karnataka,Arhar/Tur,421810,98473,0.268235294,1266.7
1997,Karnataka,Bajra,301149,132056,0.404545455,1266.7
1997,Karnataka,Bajra,820,662,0.81,1266.7
1997,Karnataka,Black pepper,3825,924,0.4375,1266.7
1997,Karnataka,Cardamom,21230,1214,0.058571429,1266.7
1997,Karnataka,Coriander,17317,2853,0.121333333,1266.7
1997,Karnataka,Dry chillies,186579,139206,1.078333333,1266.7
1997,Karnataka,Dry chillies,4565,7895,1.869444444,1266.7
1997,Karnataka,Garlic,5061,3799,1.585,1266.7
1997,Karnataka,Ginger,3619,4745,1.262307692,1266.7
1997,Karnataka,Groundnut,847666,525562,0.709411765,1266.7
1997,Karnataka,Groundnut,192416,181071,1.133333333,1266.7
1997,Karnataka,Horse-gram,178872,80124,0.45,1266.7
1997,Karnataka,Horse-gram,163173,82572,0.514705882,1266.7
1997,Karnataka,Jowar,389690,516093,1.228,1266.7
1997,Karnataka,Jowar,1501172,722773,0.510714286,1266.7
1997,Karnataka,Jowar,6137,15135,2.470909091,1266.7
1997,Karnataka,Maize,502797,1391132,2.687777778,1266.7
1997,Karnataka,Maize,48844,98932,1.98,1266.7
1997,Karnataka,Maize,9730,20893,2.165714286,1266.7
1997,Karnataka,Ragi,897921,1214282,1.191333333,1266.7
1997,Karnataka,Ragi,27104,33696,1.312222222,1266.7
1997,Karnataka,Ragi,13521,25035,1.847777778,1266.7
1997,Karnataka,Rice,1031530,2340493,2.2335,1266.7
1997,Karnataka,Rice,53889,109350,2.073846154,1266.7
1997,Karnataka,Rice,268044,762759,2.829444444,1266.7
1997,Karnataka,Sugarcane,308857,28999269,91.74736842,1266.7
1997,Karnataka,Turmeric,4342,24108,4.452941176,1266.7
1997,Karnataka,Wheat,250698,118512,0.548333333,1266.7
1997,Kerala,Arecanut,76145,93995,1.147857143,3252.4
1997,Kerala,Black pepper,173855,55520,0.240714286,3252.4
1997,Kerala,Cashewnut,96073,74142,0.589285714,3252.4
1997,Kerala,Coconut ,884344,5210000000,5376.054286,3252.4
1997,Kerala,Tapioca,132875,2841819,22.80357143,3252.4
1997,Meghalaya,Arecanut,9569,12116,1.245714286,3818.2
1997,Meghalaya,Arhar/Tur,865,683,0.806666667,3818.2
1997,Meghalaya,Banana,5239,63011,11.20714286,3818.2
1997,Meghalaya,Castor seed,30,15,0.49,3818.2
1997,Meghalaya,Cotton(lint),7544,5590,0.796666667,3818.2
1997,Meghalaya,Dry chillies,1766,1106,0.64,3818.2
1997,Meghalaya,Ginger,7357,45260,6.054285714,3818.2
